Last Update: 2024-10-04 22:10 UTC
            Object         |    Diameter    |             VI Max                                   |          VIs                  |
 Num/des.       Name       |   m  |   *=Y   |      Date/Time   |  IP max  | PS max |TS  | Vel km/s | Years     | IP cum   | PS cum |
AAAAAAAAA AAAAAAAAAAAAAAAA | NNNN |    A    | YYYY-MM-DD HH:MM | EEEEEEEE | NNN.NN | NN |  NNN.NN  | YYYY-YYYY | EEEEEEEE | NNN.NN |
2020FA5                    |  210 |    *    | 2110-10-29 06:35 |  9.34E-8 |  -5.00 |  0 |   29.72  | 2110-2110 |  9.34E-8 |  -5.00 |
1996TC1                    |   60 |    *    | 2067-09-26 05:02 |  1.24E-6 |  -5.01 |  0 |   26.49  | 2054-2072 |  1.30E-6 |  -4.99 |
2011SO189                  |   18 |    *    | 2056-09-24 11:51 |  3.13E-5 |  -5.01 |  0 |   17.20  | 2056-2090 |  1.09E-4 |  -4.64 |
2024AM                     |   10 |    *    | 2069-01-08 17:23 |  2.01E-4 |  -5.01 |  0 |   14.24  | 2069-2098 |  2.01E-4 |  -5.01 |
2010KV7                    |   13 |         | 2034-05-21 06:08 |  9.81E-6 |  -5.02 |  0 |   12.39  | 2034-2122 |  4.07E-5 |  -4.73 |
2002UV36                   |   16 |    *    | 2087-10-26 07:53 |  9.84E-5 |  -5.03 |  0 |   13.79  | 2087-2087 |  9.84E-5 |  -5.03 |
2011VG9                    |  130 |    *    | 2104-11-03 20:47 |  2.87E-7 |  -5.03 |  0 |   27.27  | 2104-2119 |  4.24E-7 |  -4.86 |
2021KT2                    |    8 |    *    | 2065-06-01 11:44 |  4.18E-4 |  -5.03 |  0 |   13.91  | 2057-2108 |  4.32E-4 |  -5.02 |
2009VA                     |    7 |    *    | 2025-11-06 20:17 |  2.82E-5 |  -5.03 |  0 |   13.87  | 2025-2043 |  4.73E-5 |  -4.89 |
2012ES10                   |   60 |    *    | 2059-03-05 10:45 |  7.11E-7 |  -5.04 |  0 |   26.80  | 2054-2062 |  1.36E-6 |  -4.76 |
2019JO1                    |   13 |    *    | 2052-04-28 02:02 |  4.08E-5 |  -5.05 |  0 |   21.39  | 2044-2053 |  4.16E-5 |  -5.04 |
2020VB5                    |   11 |    *    | 2037-11-17 16:25 |  3.48E-5 |  -5.05 |  0 |   20.28  | 2037-2037 |  5.38E-5 |  -4.86 |
2016EO28                   |    5 |    *    | 2035-02-28 09:50 |  2.72E-4 |  -5.06 |  0 |   13.18  | 2035-2054 |  2.91E-4 |  -5.04 |
2020YA3                    |   23 |    *    | 2073-12-22 00:47 |  2.69E-5 |  -5.07 |  0 |   16.55  | 2073-2102 |  2.83E-5 |  -5.05 |
2021TW2                    |   26 |    *    | 2102-10-10 12:11 |  5.13E-5 |  -5.07 |  0 |   11.81  | 2099-2121 |  5.65E-5 |  -5.03 |
2009OW6                    |   30 |    *    | 2080-08-20 09:24 |  1.93E-5 |  -5.08 |  0 |   13.01  | 2074-2120 |  1.99E-5 |  -5.07 |
2021VM1                    |   25 |    *    | 2102-04-30 02:30 |  2.64E-5 |  -5.08 |  0 |   18.36  | 2081-2102 |  3.95E-5 |  -4.87 |
2021SU1                    |   18 |    *    | 2054-09-20 21:01 |  4.47E-5 |  -5.08 |  0 |   12.81  | 2054-2120 |  1.27E-4 |  -4.85 |
2009TH8                    |   40 |    *    | 2097-10-21 13:51 |  9.40E-6 |  -5.09 |  0 |   17.17  | 2068-2100 |  9.97E-6 |  -5.06 |
2017VL2                    |   23 |    *    | 2098-11-09 16:24 |  5.14E-5 |  -5.09 |  0 |   13.94  | 2087-2121 |  1.28E-4 |  -4.73 |
